Layer,Pruned Percentage
Conv2d,3.414351851851852
Conv2d,4.340277777777779
BatchNorm2d,0.0
Conv2d,16.09429253472222
BatchNorm2d,0.0
Conv2d,13.252766927083336
Conv2d,13.529459635416664
BatchNorm2d,0.0
Conv2d,17.176649305555557
BatchNorm2d,0.0
Conv2d,16.87249077690972
Conv2d,16.999647352430557
BatchNorm2d,0.0
Conv2d,20.33114963107639
BatchNorm2d,0.0
Conv2d,20.124223497178818
Conv2d,21.419779459635414
BatchNorm2d,0.0
Conv2d,24.852710300021702
BatchNorm2d,0.0
Conv2d,25.350379943847656
Conv2d,28.966013590494796
BatchNorm2d,0.0
Conv2d,37.332587771945526
BatchNorm2d,0.0
ConvTranspose2d,30.577172173394093
Conv2d,26.184124416775173
Conv2d,27.90090772840712
BatchNorm2d,0.0
Conv2d,23.164325290256077
BatchNorm2d,0.0
ConvTranspose2d,20.68430582682292
Conv2d,21.24947441948785
Conv2d,21.76784939236111
BatchNorm2d,0.0
Conv2d,17.5018310546875
BatchNorm2d,0.0
ConvTranspose2d,14.445665147569445
Conv2d,20.674302842881943
Conv2d,18.577406141493057
BatchNorm2d,0.0
Conv2d,12.696668836805555
BatchNorm2d,0.0
ConvTranspose2d,11.488172743055555
Conv2d,29.84579248366013
Conv2d,20.3857421875
BatchNorm2d,0.0
Conv2d,12.5
BatchNorm2d,0.0
Conv2d,3.4466911764705883
BatchNorm2d,0.0
