Layer,Pruned Percentage,Weights
Conv2d,24.76851851851852,1792
Conv2d,29.340277777777782,1792
BatchNorm2d,0.0,128
Conv2d,85.24034288194444,36928
BatchNorm2d,0.0,128
Conv2d,76.50960286458333,73856
Conv2d,78.81266276041667,73856
BatchNorm2d,0.0,256
Conv2d,86.14366319444444,147584
BatchNorm2d,0.0,256
Conv2d,85.30646430121527,295168
Conv2d,87.1585422092014,295168
BatchNorm2d,0.0,512
Conv2d,91.3482666015625,590080
BatchNorm2d,0.0,512
Conv2d,91.16787380642359,1180160
Conv2d,93.17423502604169,1180160
BatchNorm2d,0.0,1024
Conv2d,95.99605136447481,2359808
BatchNorm2d,0.0,1024
Conv2d,96.463139851888,4719616
Conv2d,98.05299970838759,4719616
BatchNorm2d,0.0,2048
Conv2d,99.43360222710504,9438208
BatchNorm2d,0.0,2048
ConvTranspose2d,99.03566572401259,4719104
Conv2d,96.01927863226996,4719104
Conv2d,97.31248219807941,4719104
BatchNorm2d,0.0,1024
Conv2d,94.62432861328124,2359808
BatchNorm2d,0.0,1024
ConvTranspose2d,92.77911716037327,1179904
Conv2d,91.99973212348091,1179904
Conv2d,92.54218207465277,1179904
BatchNorm2d,0.0,512
Conv2d,84.8385281032986,590080
BatchNorm2d,0.0,512
ConvTranspose2d,77.36002604166667,295040
Conv2d,88.73765733506944,295040
Conv2d,85.760498046875,295040
BatchNorm2d,0.0,256
Conv2d,69.42274305555556,147584
BatchNorm2d,0.0,256
ConvTranspose2d,66.39539930555556,73792
Conv2d,86.55662785947712,78404
Conv2d,85.02604166666667,73792
BatchNorm2d,0.0,128
Conv2d,70.71668836805556,36928
BatchNorm2d,0.0,128
Conv2d,25.965073529411764,4420
BatchNorm2d,0.0,136
